
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JKGrad: UV                          :     29.533u      3.517s      4.960w     15 calls
JKGrad: ABx                         :     16.033u      0.500s      1.751w     15 calls
JKGrad: Amnx                        :   1968.633u     39.183s    177.924w     15 calls
Grad: XC                            :    679.867u      0.250s     51.057w     15 calls
V_xc gradient                       :    159.475p                          58005 calls

--------------------------------------------------------------------------------------
V: Grid                             :    126.183u      1.083s     10.174w     15 calls
JK: (A|mn)                          :    471.267u      0.067s     35.384w     15 calls
JK: (A|Q)^-1/2                      :    107.067u      1.267s     12.126w     15 calls
JK: (Q|mn)                          :     95.767u      0.000s     14.389w     15 calls
JK: (A|mn)^L                        :    194.900u      0.133s     14.647w     15 calls
JK: (A|Q)^-1                        :    107.350u      1.267s     12.175w     15 calls
JK: (Q|mn)^L                        :     91.950u      0.000s     13.798w     15 calls
JK: (A|mn)^R                        :    227.150u      0.150s     17.065w     15 calls
HF: Form core H                     :      1.550u      0.117s      0.132w     15 calls
HF: Form S/X                        :      3.050u      0.083s      0.233w     15 calls
HF: Guess                           :      9.783u      0.233s      0.751w     15 calls
| SAD Guess                         :      9.533u      0.217s      0.731w      1 calls
HF: Form G                          :   9248.550u    120.733s    703.530w    196 calls
| RV: Form V                        :   2213.917u      0.517s    166.251w    196 calls
| | Properties                      :    387.724p                         757968 calls
| | Functional                      :    188.064p                         757968 calls
| | V_xc                            :    748.665p                         757968 calls
| JK: D                             :      0.617u      0.017s      0.051w    196 calls
| JK: USO2AO                        :      0.950u      0.050s      0.069w    196 calls
| JK: JK                            :   7031.167u    120.117s    537.010w    196 calls
| | JK: J                           :     73.533u      1.167s      5.754w    196 calls
| | | JK: J1                        :     36.133u      0.567s      2.825w    196 calls
| | | JK: J2                        :     35.817u      0.583s      2.817w    196 calls
| | JK: K                           :   2235.900u      6.150s    168.435w    196 calls
| | | JK: K1                        :   1848.767u      0.667s    138.854w    196 calls
| | | JK: K2                        :    386.767u      5.483s     29.549w    196 calls
| | JK: wK                          :   3896.800u      6.383s    293.148w    392 calls
| | | JK: wK1                       :   3506.283u      1.233s    263.374w    784 calls
| | | JK: wK2                       :    387.767u      5.050s     29.710w    392 calls
| JK: AO2USO                        :      0.033u      0.000s      0.000w    196 calls
HF: Form F                          :      0.817u      0.000s      0.070w    196 calls
HF: Form D                          :      0.583u      0.017s      0.041w    196 calls
HF: DIIS                            :     17.817u      1.283s      1.434w    195 calls
| DIISManager::add_entry            :      3.767u      0.300s      0.271w    181 calls
| DIISManager::extrapolate          :      7.217u      0.867s      0.603w    181 calls
| | bMatrix setup                   :      3.150u      0.600s      0.286w    181 calls
| | bMatrix pseudoinverse           :      0.133u      0.000s      0.012w    181 calls
| | New vector                      :      3.867u      0.267s      0.304w    181 calls
HF: Form C                          :     37.517u      0.867s      2.879w    195 calls
Grad: V T Perturb                   :     75.100u      0.467s      5.677w     15 calls
Grad: S                             :      0.583u      0.017s      0.048w     15 calls
Grad: JK                            :   2914.633u     92.267s    291.738w     15 calls
| JKGrad: Amn                       :    352.067u     22.167s     43.241w     15 calls
| JKGrad: Awmn                      :    388.850u     21.533s     45.388w     15 calls
| JKGrad: AB                        :    132.383u      4.083s     16.340w     15 calls
| JKGrad: UV                        :     29.533u      3.517s      4.960w     15 calls
| JKGrad: ABx                       :     16.033u      0.500s      1.751w     15 calls
| JKGrad: Amnx                      :   1968.633u     39.183s    177.924w     15 calls
Grad: XC                            :    679.867u      0.250s     51.057w     15 calls
| Properties                        :    230.660p                          58005 calls
| Functional                        :     14.754p                          58005 calls
| V_xc gradient                     :    159.475p                          58005 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:44:01 2021
Timers Off: Mon Jun 21 23:02:36 2021

Wall Time:     1115.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    115.433u      0.967s      9.374w     14 calls
JK: (A|mn)                          :    446.017u      0.033s     33.485w     14 calls
JK: (A|Q)^-1/2                      :    103.367u      1.450s     11.898w     14 calls
JK: (Q|mn)                          :     90.100u      0.000s     13.544w     14 calls
JK: (A|mn)^L                        :    183.383u      0.117s     13.782w     14 calls
JK: (A|Q)^-1                        :    102.100u      1.400s     11.752w     14 calls
JK: (Q|mn)^L                        :     86.517u      0.000s     12.985w     14 calls
JK: (A|mn)^R                        :    213.450u      0.150s     16.033w     14 calls
HF: Form core H                     :      1.467u      0.083s      0.125w     14 calls
HF: Form S/X                        :      2.867u      0.100s      0.221w     14 calls
HF: Guess                           :      9.683u      0.300s      0.752w     14 calls
SAD Guess                           :      9.483u      0.300s      0.733w      1 calls
HF: Form G                          :   7995.483u    103.750s    608.667w    169 calls
RV: Form V                          :   1924.933u      0.233s    144.514w    169 calls
Properties                          :    555.544p                         710505 calls
Functional                          :    175.769p                         710505 calls
V_xc                                :    651.303p                         656144 calls
JK: D                               :      0.517u      0.000s      0.045w    169 calls
JK: USO2AO                          :      0.750u      0.017s      0.061w    169 calls
JK: JK                              :   6067.767u    103.450s    463.918w    169 calls
JK: J                               :     56.150u      0.900s      4.907w    169 calls
JK: J1                              :     31.683u      0.683s      2.431w    169 calls
JK: J2                              :     23.417u      0.200s      2.378w    169 calls
JK: K                               :   1917.767u      5.100s    144.497w    169 calls
JK: K1                              :   1584.383u      0.483s    119.011w    169 calls
JK: K2                              :    333.133u      4.617s     25.459w    169 calls
JK: wK                              :   3378.033u      5.733s    254.085w    338 calls
JK: wK1                             :   3041.750u      1.167s    228.458w    676 calls
JK: wK2                             :    333.733u      4.533s     25.572w    338 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    169 calls
HF: Form F                          :      0.817u      0.000s      0.061w    169 calls
HF: Form D                          :      0.317u      0.000s      0.036w    169 calls
HF: DIIS                            :     15.267u      1.083s      1.226w    168 calls
DIISManager::add_entry              :      3.467u      0.133s      0.244w    155 calls
DIISManager::extrapolate            :      5.883u      0.850s      0.494w    155 calls
bMatrix setup                       :      2.550u      0.533s      0.233w    155 calls
bMatrix pseudoinverse               :      0.150u      0.000s      0.010w    155 calls
New vector                          :      3.183u      0.317s      0.251w    155 calls
HF: Form C                          :     32.733u      0.583s      2.497w    168 calls
Grad: V T Perturb                   :     70.267u      0.450s      5.306w     14 calls
Grad: S                             :      0.533u      0.000s      0.045w     14 calls
Grad: JK                            :   2740.133u     86.933s    274.910w     14 calls
JKGrad: Amn                         :    329.583u     20.467s     40.615w     14 calls
JKGrad: Awmn                        :    363.733u     20.567s     42.653w     14 calls
JKGrad: AB                          :    126.183u      4.133s     15.793w     14 calls
JKGrad: UV                          :     27.733u      3.167s      4.630w     14 calls
JKGrad: ABx                         :     15.717u      0.650s      1.753w     14 calls
JKGrad: Amnx                        :   1851.717u     36.700s    167.459w     14 calls
Grad: XC                            :    669.833u      0.183s     50.300w     14 calls
V_xc gradient                       :    168.125p                          54361 calls

--------------------------------------------------------------------------------------
V: Grid                             :    115.433u      0.967s      9.374w     14 calls
JK: (A|mn)                          :    446.017u      0.033s     33.485w     14 calls
JK: (A|Q)^-1/2                      :    103.367u      1.450s     11.898w     14 calls
JK: (Q|mn)                          :     90.100u      0.000s     13.544w     14 calls
JK: (A|mn)^L                        :    183.383u      0.117s     13.782w     14 calls
JK: (A|Q)^-1                        :    102.100u      1.400s     11.752w     14 calls
JK: (Q|mn)^L                        :     86.517u      0.000s     12.985w     14 calls
JK: (A|mn)^R                        :    213.450u      0.150s     16.033w     14 calls
HF: Form core H                     :      1.467u      0.083s      0.125w     14 calls
HF: Form S/X                        :      2.867u      0.100s      0.221w     14 calls
HF: Guess                           :      9.683u      0.300s      0.752w     14 calls
| SAD Guess                         :      9.483u      0.300s      0.733w      1 calls
HF: Form G                          :   7995.483u    103.750s    608.667w    169 calls
| RV: Form V                        :   1924.933u      0.233s    144.514w    169 calls
| | Properties                      :    338.229p                         656144 calls
| | Functional                      :    162.075p                         656144 calls
| | V_xc                            :    651.303p                         656144 calls
| JK: D                             :      0.517u      0.000s      0.045w    169 calls
| JK: USO2AO                        :      0.750u      0.017s      0.061w    169 calls
| JK: JK                            :   6067.767u    103.450s    463.918w    169 calls
| | JK: J                           :     56.150u      0.900s      4.907w    169 calls
| | | JK: J1                        :     31.683u      0.683s      2.431w    169 calls
| | | JK: J2                        :     23.417u      0.200s      2.378w    169 calls
| | JK: K                           :   1917.767u      5.100s    144.497w    169 calls
| | | JK: K1                        :   1584.383u      0.483s    119.011w    169 calls
| | | JK: K2                        :    333.133u      4.617s     25.459w    169 calls
| | JK: wK                          :   3378.033u      5.733s    254.085w    338 calls
| | | JK: wK1                       :   3041.750u      1.167s    228.458w    676 calls
| | | JK: wK2                       :    333.733u      4.533s     25.572w    338 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    169 calls
HF: Form F                          :      0.817u      0.000s      0.061w    169 calls
HF: Form D                          :      0.317u      0.000s      0.036w    169 calls
HF: DIIS                            :     15.267u      1.083s      1.226w    168 calls
| DIISManager::add_entry            :      3.467u      0.133s      0.244w    155 calls
| DIISManager::extrapolate          :      5.883u      0.850s      0.494w    155 calls
| | bMatrix setup                   :      2.550u      0.533s      0.233w    155 calls
| | bMatrix pseudoinverse           :      0.150u      0.000s      0.010w    155 calls
| | New vector                      :      3.183u      0.317s      0.251w    155 calls
HF: Form C                          :     32.733u      0.583s      2.497w    168 calls
Grad: V T Perturb                   :     70.267u      0.450s      5.306w     14 calls
Grad: S                             :      0.533u      0.000s      0.045w     14 calls
Grad: JK                            :   2740.133u     86.933s    274.910w     14 calls
| JKGrad: Amn                       :    329.583u     20.467s     40.615w     14 calls
| JKGrad: Awmn                      :    363.733u     20.567s     42.653w     14 calls
| JKGrad: AB                        :    126.183u      4.133s     15.793w     14 calls
| JKGrad: UV                        :     27.733u      3.167s      4.630w     14 calls
| JKGrad: ABx                       :     15.717u      0.650s      1.753w     14 calls
| JKGrad: Amnx                      :   1851.717u     36.700s    167.459w     14 calls
Grad: XC                            :    669.833u      0.183s     50.300w     14 calls
| Properties                        :    217.314p                          54361 calls
| Functional                        :     13.694p                          54361 calls
| V_xc gradient                     :    168.125p                          54361 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 23:02:42 2021
Timers Off: Mon Jun 21 23:24:56 2021

Wall Time:     1334.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    136.467u      1.167s     11.100w     16 calls
JK: (A|mn)                          :    495.217u      0.050s     37.195w     16 calls
JK: (A|Q)^-1/2                      :    116.250u      1.433s     13.271w     16 calls
JK: (Q|mn)                          :    106.650u      0.000s     16.005w     16 calls
JK: (A|mn)^L                        :    206.983u      0.217s     15.559w     16 calls
JK: (A|Q)^-1                        :    115.750u      1.433s     13.181w     16 calls
JK: (Q|mn)^L                        :    102.433u      0.000s     15.370w     16 calls
JK: (A|mn)^R                        :    241.850u      0.167s     18.180w     16 calls
HF: Form core H                     :      1.800u      0.150s      0.153w     16 calls
HF: Form S/X                        :      3.383u      0.050s      0.261w     16 calls
HF: Guess                           :      9.800u      0.250s      0.756w     16 calls
SAD Guess                           :      9.567u      0.233s      0.735w      1 calls
HF: Form G                          :   9941.650u    127.017s    756.245w    204 calls
RV: Form V                          :   2430.183u      0.433s    182.445w    204 calls
Properties                          :    691.574p                         850842 calls
Functional                          :    217.522p                         850842 calls
V_xc                                :    820.656p                         788961 calls
JK: D                               :      0.667u      0.017s      0.054w    204 calls
JK: USO2AO                          :      1.133u      0.067s      0.073w    204 calls
JK: JK                              :   7507.817u    126.450s    573.514w    204 calls
JK: J                               :     74.533u      1.567s      6.072w    204 calls
JK: J1                              :     38.283u      0.833s      2.990w    204 calls
JK: J2                              :     34.450u      0.717s      2.963w    204 calls
JK: K                               :   2367.467u      6.533s    178.382w    204 calls
JK: K1                              :   1956.283u      0.783s    146.947w    204 calls
JK: K2                              :    410.917u      5.750s     31.400w    204 calls
JK: wK                              :   4195.917u      7.417s    315.652w    408 calls
JK: wK1                             :   3781.550u      1.283s    284.039w    816 calls
JK: wK2                             :    411.133u      6.100s     31.546w    408 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    204 calls
HF: Form F                          :      0.883u      0.017s      0.074w    204 calls
HF: Form D                          :      0.383u      0.017s      0.045w    204 calls
HF: DIIS                            :     18.983u      1.500s      1.529w    203 calls
DIISManager::add_entry              :      4.067u      0.417s      0.292w    188 calls
DIISManager::extrapolate            :      7.683u      0.917s      0.633w    188 calls
bMatrix setup                       :      3.500u      0.600s      0.298w    188 calls
bMatrix pseudoinverse               :      0.133u      0.000s      0.013w    188 calls
New vector                          :      4.000u      0.317s      0.321w    188 calls
HF: Form C                          :     40.517u      0.567s      3.089w    203 calls
Grad: V T Perturb                   :     80.783u      0.583s      6.102w     16 calls
Grad: S                             :      0.700u      0.000s      0.052w     16 calls
Grad: JK                            :   3144.983u     98.700s    314.596w     16 calls
JKGrad: Amn                         :    376.850u     24.033s     46.363w     16 calls
JKGrad: Awmn                        :    415.983u     23.333s     48.688w     16 calls
JKGrad: AB                          :    143.517u      4.417s     17.779w     16 calls
JKGrad: UV                          :     32.250u      3.550s      5.374w     16 calls
JKGrad: ABx                         :     17.367u      0.600s      1.918w     16 calls
JKGrad: Amnx                        :   2129.600u     41.467s    192.158w     16 calls
Grad: XC                            :    744.650u      0.233s     55.921w     16 calls
V_xc gradient                       :    167.891p                          61881 calls

--------------------------------------------------------------------------------------
V: Grid                             :    136.467u      1.167s     11.100w     16 calls
JK: (A|mn)                          :    495.217u      0.050s     37.195w     16 calls
JK: (A|Q)^-1/2                      :    116.250u      1.433s     13.271w     16 calls
JK: (Q|mn)                          :    106.650u      0.000s     16.005w     16 calls
JK: (A|mn)^L                        :    206.983u      0.217s     15.559w     16 calls
